FirstName,MiddleInitials,LastName,FullName,SamAccountName,Password,DisplayName,OU,Office,Email,WebPage,JobTitle,Department,Company,MainPhone,HomePhone,MobilePhone,Fax,Street,City,State,PostalCode
Pepper,,Potts,Pepper Potts,Pepper,NET2GRID,Pepper Potts,CEO,,pepperpotts@net2grid.globexpower.com ,,CEO,,NET2GRID,,,,,,,,
Jane,,Foster,Jane Foster,Jane,NET2GRID,Jane Foster,Marketing,,janefoster_mk@net2grid.globexpower.com,,Chief Marketing Officer,Marketing,NET2GRID,,,,,,,,
Thor,,Odinson,Thor Odinson,Thor,NET2GRID,Thor Odinson,Marketing,,thorodinson_mk@net2grid.globexpower.com,,Sr. Manager; Paid Media ,Marketing,NET2GRID,,,,,,,,
Brunnhilde,, Valkyrie,Brunnhilde Valkyrie,Valkyrie,NET2GRID,Brunnhilde Valkyrie,Marketing,,brunnhildevalkyrie_mk@net2grid.globexpower.com,,Sr. Manager; SEO ,Marketing,NET2GRID,,,,,,,,
Loki,,Laufeyson,Loki Laufeyson,Loki,NET2GRID,Loki Laufeyson,Marketing,,lokilaufeyson_mk@net2grid.globexpower.com,,Sr. Manager; Communications ,Marketing,NET2GRID,,,,,,,,
Phillip,,Coulson,Phillip Coulson,Phillip,NET2GRID,Phillip Coulson,Financial,,phillipcoulson_fn@net2grid.globexpower.com,,Chief Financial Officer,Financial,NET2GRID,,,,,,,,
Peter,,Quill,Peter Quill,Peter,NET2GRID,Peter Quill,Financial,,peterquill_fn@net2grid.globexpower.com ,,Senior Auditor,Financial,NET2GRID,,,,,,,,
Yondu,,Udonta,Yondu Udonta,Yondu,NET2GRID,Yondu Udonta,Financial,,yonduudonta_fn@net2grid.globexpower.com,,Sr. Accountant,Financial,NET2GRID,,,,,,,,
Iam,,Groot,Iam Groot,Iam,NET2GRID,Iam Groot,Financial,,iamgroot_fn@net2grid.globexpower.com,,AP Administrator,Financial,NET2GRID,,,,,,,,
Rocket,,Racoon,Rocket Racoon,Rocket,NET2GRID,Rocket Racoon,Financial,,rocketracoon_fn@net2grid.globexpower.com,,Jr. Accountant,Financial,NET2GRID,,,,,,,,
Bruce,,Banner,Bruce Banner,Bruce,NET2GRID,Bruce Banner,HR,,brucebanner_hr@net2grid.globexpower.com,,Exec VP,HR,NET2GRID,,,,,,,,
Nick ,,Fury,Nick Fury,Nick,NET2GRID,Nick Fury,HR,,nickfury_hr@net2grid.globexpower.com,,Director; Talent Acquisition,HR,NET2GRID,,,,,,,,
James,,Rhodes,James Rhodes,James,NET2GRID,James Rhodes,HR,,jamesrhodes_hr@net2grid.globexpower.com,,Manager; Training and Development,HR,NET2GRID,,,,,,,,
Phillip,,Rhodes,Phillip Coulson ,Phillip2,NET2GRID,Phillip Coulson,HR,,phillipcoulson_hr@net2grid.globexpower.com,,Business Partner,HR,NET2GRID,,,,,,,,
Tony,,Stark,Tony Stark,Tony,NET2GRID,Tony Stark,Information,,tonystark_in@net2grid.globexpower.com,,Chief Information Officer,Information,NET2GRID,,,,,,,,
Hope,Van,Dyn,Hope Van Dyn,Dyn,NET2GRID,Hope Van Dyn,Technology,,hopevandyn_tc@net2grid.globexpower.com,,Chief Technology Officer,Technology,NET2GRID,,,,,,,,
Hank,,Pim,Hank Pim,Pim,NET2GRID,Hank Pim,Technology,,hankpim_tc@net2grid.globexpower.com,,Senior Engineer,Technology,NET2GRID,,,,,,,,
Scott,,Lang,Scott Lang,Scott,NET2GRID,Scott Lang,Technology,,scottlang_tc@net2grid.globexpower.com,,Frontend Developer,Technology,NET2GRID,,,,,,,,
Peter,,Parker,Peter Parker,Parker,NET2GRID,Peter Parker,Technology,,peterparker_tc@net2grid.globexpower.com,,Backend Developer,Technology,NET2GRID,,,,,,,,
Natasha ,,Richardson,Natasha Richardson,Natasha ,NET2GRID,Natasha Richardson,Information Security,,natasharichardson_sc@net2grid.globexpower.com,,Chief Information Security Officer,Information Security,NET2GRID,,,,,,,,
Maria,,Hill,Maria Hill,Maria,NET2GRID,Maria Hill,Information Security,,mariahill_sc@net2grid.globexpower.com,,Director; Information Security,Information Security,NET2GRID,,,,,,,,
Happy,,Hogan,Happy Hogan,Happy,NET2GRID,Happy Hogan,Information Security,,happyhogan_sc@net2grid.globexpower.com,,Facilities Manager,Information Security,NET2GRID,,,,,,,,
Pietro,,Maximoff,Pietro Maximoff,Pietro,NET2GRID,Pietro Maximoff,Information Security,,pietromaximoff_sc@net2grid.globexpower.com,,Defensive Security Team,Information Security,NET2GRID,,,,,,,,
Wanda,,Maximoff,Wanda Maximoff,Wanda,NET2GRID,Wanda Maximoff,Information Security,,wandamaximoff_sc@net2grid.globexpower.com,,Offensive Security Team,Information Security,NET2GRID,,,,,,,,
Carol,,Danvers,Carol Danvers,Carol,NET2GRID,Carol Danvers,Operations,,caroldanvers_op@net2grid.globexpower.com,,Chief Operations Officer,Operations,NET2GRID,,,,,,,,
King,,T'Challa,King T'Challa,King,NET2GRID,King T'Challa,Operations,,kingtchalla_op@net2grid.globexpower.com,,Divisional VP; Retail West,Operations,NET2GRID,,,,,,,,
Princess,,Shuri,Princess Shuri,Princess,NET2GRID,Princess Shuri,Operations,,princessshuri_op@net2grid.globexpower.com,,Divisional VP; Retail East,Operations,NET2GRID,,,,,,,,
Peggy,,Carter,Peggy Carter,Peggy,NET2GRID,Peggy Carter,Operations,,peggycarter_op@net2grid.globexpower.com,,Regional Manager; Washington; Idaho; Montana,Operations,NET2GRID,,,,,,,,
Bucky,,Barnes,Bucky Barnes,Bucky,NET2GRID,Bucky Barnes,Operations,,buckybarnes_op@net2grid.globexpower.com,,Regional Manager; California & Oregon,Operations,NET2GRID,,,,,,,,
Steve,,Evans,Steve Evans,Steve,NET2GRID,Steve Evans,Operations,,steveevans_op@net2grid.globexpower.com,,Regional Manager; New York; New Jersey; Connecticut,Operations,NET2GRID,,,,,,,,
Sam,,Wilson,Sam Wilson,Sam,NET2GRID,Sam Wilson,Operations,,samwilson_op@net2grid.globexpower.com,,Regional Manager; Florida; Georgia; Carolinas,Operations,NET2GRID,,,,,,,,
